Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,3456.48,наличный,Минск,Беларусбанк-RBDO-810,22-09-2017,15:41:44,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,145.41,наличный,Могилев,МаксБанк-NIGQ-111,07-06-2022,05:01:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,201.08,безналичный,Могилев,Приорбанк-HVVS-635,13-06-2019,06:23:54,неправильный ввод пин-кода,да,19.26
физ. лицо,списание средств,4316.95,безналичный,Минск,БелАгропромбанк-BCRN-676,02-01-2000,21:32:53,неправильный ввод пин-кода,да,336.29
физ. лицо,списание средств,1288.66,наличный,Гродно,МаксБанк-RAPN-330,16-04-2006,15:58:42,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4607.32,безналичный,Брест,БелАгропромбанк-CYDY-234,28-05-2022,09:23:43,неправильный ввод пин-кода,да,335.49
физ. лицо,списание средств,3801.45,наличный,Витебск,Приорбанк-OVFX-989,25-08-2013,20:48:18,неправильный ввод пин-кода,да,309.91
юр. лицо,списание средств,4673.37,наличный,Витебск,Беларусбанк-FNNT-935,23-07-2016,11:41:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1181.18,наличный,Гродно,Беларусбанк-ISWA-848,29-04-2004,02:53:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,977.76,наличный,Витебск,Беларусбанк-HQAJ-851,16-01-2010,02:51:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,72.63,безналичный,Гродно,БелАгропромбанк-LQMQ-070,25-03-2004,23:39:37,неправильный ввод пин-кода,да,3.99
физ. лицо,списание средств,2771.68,наличный,Гродно,Приорбанк-DHHE-996,23-06-2011,21:12:03,неправильный ввод пин-кода,да,135.78
юр. лицо,списание средств,3818.58,наличный,Витебск,Беларусбанк-HNAL-510,13-10-2021,23:48:59,неправильный ввод пин-кода,да,362.02
физ. лицо,списание средств,4294.47,наличный,Гомель,МаксБанк-FPDK-972,04-02-2019,23:36:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3875.71,наличный,Минск,Белинвестбанк-MBCT-686,11-11-2005,21:26:28,неправильный ввод пин-кода,да,113.54
юр. лицо,списание средств,4940.81,наличный,Витебск,Беларусбанк-JLNA-399,02-02-2013,15:38:41,неправильный ввод пин-кода,да,336.38
физ. лицо,списание средств,4345.93,наличный,Витебск,Беларусбанк-LWDX-015,11-04-2024,01:40:47,неправильный ввод пин-кода,да,362.6
физ. лицо,списание средств,4515.72,наличный,Могилев,БелАгропромбанк-GHTH-137,17-04-2020,08:55:33,неправильный ввод пин-кода,да,183.68
юр. лицо,списание средств,783.52,наличный,Гомель,МаксБанк-JDHG-082,10-01-2020,09:22:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4565.17,наличный,Витебск,Беларусбанк-GYTX-469,11-12-2012,07:09:49,неправильный ввод пин-кода,да,193.53
физ. лицо,списание средств,438.76,наличный,Витебск,МаксБанк-UQNE-136,18-08-2005,15:19:28,неправильный ввод пин-кода,да,10.59
физ. лицо,списание средств,882.03,безналичный,Гомель,Приорбанк-PHSQ-385,30-11-2010,22:20:43,неправильный ввод пин-кода,да,85.72
физ. лицо,списание средств,1167.18,наличный,Брест,МаксБанк-HUSU-506,21-07-2006,03:53:47,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3566.4,наличный,Могилев,МаксБанк-KSYH-545,30-07-2008,15:34:57,неправильный ввод пин-кода,да,299.07
физ. лицо,списание средств,2402.63,наличный,Гродно,МаксБанк-ONLF-248,07-05-2010,23:54:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1969.36,безналичный,Минск,Беларусбанк-XKZI-448,26-08-2009,18:49:23,неправильный ввод пин-кода,да,48.36
физ. лицо,списание средств,506.69,наличный,Гродно,БелАгропромбанк-WLTK-131,14-06-2005,02:43:02,неправильный ввод пин-кода,да,42.94
юр. лицо,списание средств,4186.02,наличный,Гродно,Белинвестбанк-TTVE-003,20-12-2005,04:08:33,неправильный ввод пин-кода,да,390.99
физ. лицо,списание средств,4618.56,наличный,Витебск,Белинвестбанк-UBAA-970,14-01-2022,20:15:55,неправильный ввод пин-кода,да,190.5
юр. лицо,списание средств,2241.03,наличный,Гомель,БелАгропромбанк-RDIH-130,20-12-2008,22:29:28,неправильный ввод пин-кода,да,151.08
юр. лицо,списание средств,1813.63,наличный,Могилев,Белинвестбанк-FWQE-539,01-06-2022,21:34:31,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1647.89,безналичный,Гомель,МаксБанк-WSFK-609,18-01-2000,13:42:01,неправильный ввод пин-кода,да,162.46
юр. лицо,списание средств,2478.38,наличный,Могилев,Беларусбанк-CIXM-203,17-08-2007,17:02:22,неправильный ввод пин-кода,да,160.76
юр. лицо,списание средств,3823.64,наличный,Гомель,Беларусбанк-XMUE-695,15-05-2020,21:50:25,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,564.65,наличный,Гомель,МаксБанк-IOAY-904,08-10-2005,22:08:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,508.99,безналичный,Минск,МаксБанк-CCPW-134,26-10-2007,09:12:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,607.44,наличный,Витебск,Белинвестбанк-PECX-387,22-02-2005,02:24:57,неправильный ввод пин-кода,да,28.33
физ. лицо,списание средств,3710.61,безналичный,Гомель,МаксБанк-MWZC-820,20-09-2002,01:11:10,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3333.52,наличный,Витебск,Беларусбанк-CBGP-752,10-05-2004,04:13:16,неправильный ввод пин-кода,да,162.6
физ. лицо,списание средств,2454.24,безналичный,Могилев,Беларусбанк-XEAO-720,20-02-2014,01:00:48,неправильный ввод пин-кода,да,150.8
физ. лицо,списание средств,1389.5,безналичный,Минск,Беларусбанк-POZH-824,20-05-2013,17:04:46,неправильный ввод пин-кода,да,125.12
юр. лицо,списание средств,1710.82,наличный,Гомель,Приорбанк-FQBL-414,09-07-2007,16:18:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,687.58,безналичный,Брест,БелАгропромбанк-EKNJ-022,11-09-2021,20:15:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4925.57,наличный,Витебск,Приорбанк-BKVM-954,08-04-2013,04:01:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3181.22,безналичный,Могилев,Белинвестбанк-GJOV-298,23-02-2022,11:08:01,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4502.9,наличный,Брест,Белинвестбанк-YGQP-123,05-11-2023,01:02:36,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2413.42,безналичный,Брест,Белинвестбанк-ZHNQ-926,08-06-2018,21:04:32,неправильный ввод пин-кода,да,105.44
юр. лицо,списание средств,694.15,безналичный,Гродно,Белинвестбанк-DHBC-370,19-10-2001,15:31:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3015.25,наличный,Могилев,МаксБанк-YZST-011,16-06-2003,12:00:37,неправильный ввод пин-кода,да,178.79
физ. лицо,списание средств,2413.62,наличный,Минск,Белинвестбанк-MZRH-546,13-03-2021,10:32:32,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3871.82,безналичный,Гродно,Приорбанк-YMZG-897,05-06-2024,09:52:57,неправильный ввод пин-кода,да,157.94
юр. лицо,списание средств,3637.78,наличный,Брест,Приорбанк-GTAK-718,01-05-2002,07:49:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1332.46,безналичный,Гомель,Приорбанк-WIBY-469,04-05-2013,16:17:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,176.85,наличный,Гомель,Приорбанк-NZXN-620,19-05-2002,15:41:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3849.05,безналичный,Брест,Приорбанк-SOEQ-911,17-11-2007,08:14:31,неправильный ввод пин-кода,да,127.71
юр. лицо,списание средств,4977.02,безналичный,Гродно,Приорбанк-OJGN-809,30-12-2010,11:50:25,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4006.54,безналичный,Могилев,БелАгропромбанк-RODQ-765,04-12-2010,18:02:36,неправильный ввод пин-кода,да,199.7
физ. лицо,списание средств,2092.15,наличный,Могилев,МаксБанк-CSXK-649,28-01-2017,08:50:19,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,229.99,наличный,Брест,МаксБанк-ASYE-148,18-10-2014,03:18:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4152.5,безналичный,Гомель,Белинвестбанк-DKFF-391,11-01-2009,05:37:12,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3906.37,безналичный,Гродно,БелАгропромбанк-BBPA-968,02-06-2013,07:45:26,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,65.47,безналичный,Витебск,Белинвестбанк-KDKF-206,10-01-2021,13:30:09,неправильный ввод пин-кода,да,5.64
юр. лицо,списание средств,3376.31,наличный,Минск,Приорбанк-SAQB-988,08-01-2005,17:20:39,неправильный ввод пин-кода,да,213.32
юр. лицо,списание средств,3554.75,наличный,Гомель,Белинвестбанк-EMZW-079,11-09-2004,14:46:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1257.02,безналичный,Минск,Приорбанк-FKZJ-327,13-10-2016,16:20:07,неправильный ввод пин-кода,да,124.14
юр. лицо,списание средств,1233.34,наличный,Витебск,БелАгропромбанк-AQEF-930,26-03-2024,04:46:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,337.27,наличный,Витебск,Приорбанк-RKZM-852,23-01-2022,20:32:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4697.07,безналичный,Брест,Беларусбанк-XKCF-406,11-10-2002,16:02:12,неправильный ввод пин-кода,да,382.89
физ. лицо,списание средств,3660.32,наличный,Витебск,Приорбанк-IKAU-906,11-11-2018,19:43:18,неправильный ввод пин-кода,да,199.98
физ. лицо,списание средств,3658.15,безналичный,Гомель,Приорбанк-RWXC-142,21-05-2013,21:58:58,неправильный ввод пин-кода,да,285.91
физ. лицо,списание средств,1927.5,безналичный,Брест,МаксБанк-VOGF-933,30-05-2000,01:18:13,неправильный ввод пин-кода,да,168.58
юр. лицо,списание средств,1978.34,безналичный,Брест,МаксБанк-PPTG-798,15-11-2020,22:05:39,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,658.57,безналичный,Минск,Беларусбанк-WWBR-547,11-09-2010,23:22:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1597.21,безналичный,Минск,БелАгропромбанк-ULDP-644,11-08-2008,08:44:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4617.24,наличный,Могилев,Приорбанк-BTAW-741,23-04-2023,01:54:33,неправильный ввод пин-кода,да,307.03
физ. лицо,списание средств,4736.41,наличный,Гродно,Приорбанк-TCWS-609,22-11-2008,15:06:24,неправильный ввод пин-кода,да,101.97
физ. лицо,списание средств,3247.9,наличный,Могилев,Белинвестбанк-ZAUS-909,03-10-2018,22:30:42,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4365.24,наличный,Витебск,Белинвестбанк-MGBU-767,17-11-2001,07:49:42,неправильный ввод пин-кода,да,229.32
юр. лицо,списание средств,4599.17,безналичный,Витебск,Белинвестбанк-TUGH-726,14-02-2016,23:30:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1300.23,безналичный,Гродно,Беларусбанк-EYSO-403,17-12-2009,11:08:16,неправильный ввод пин-кода,да,17.84
юр. лицо,списание средств,1974.3,наличный,Минск,МаксБанк-YRHA-093,09-05-2020,22:31:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4807.78,наличный,Витебск,Белинвестбанк-DFSK-236,13-07-2010,07:53:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2131.8,безналичный,Гомель,Приорбанк-VRYX-899,29-06-2006,18:42:42,неправильный ввод пин-кода,да,46.08
юр. лицо,списание средств,4592.3,наличный,Гродно,МаксБанк-TVUT-390,29-07-2007,17:42:16,неправильный ввод пин-кода,да,341.73
физ. лицо,списание средств,3624.14,безналичный,Брест,МаксБанк-LJZS-803,18-11-2015,21:34:33,неправильный ввод пин-кода,да,202.47
юр. лицо,списание средств,4953.06,безналичный,Минск,МаксБанк-SYMD-624,15-07-2019,12:36:34,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4811.67,безналичный,Брест,МаксБанк-KBUU-086,22-04-2019,15:17:53,неправильный ввод пин-кода,да,407.06
юр. лицо,списание средств,2991.03,безналичный,Витебск,Приорбанк-OJZF-648,19-04-2017,06:42:02,неправильный ввод пин-кода,да,164.51
физ. лицо,списание средств,4152.37,безналичный,Могилев,Беларусбанк-YJMA-968,09-02-2007,11:15:21,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3555.91,наличный,Брест,Белинвестбанк-EMBY-905,05-03-2012,10:40:24,неправильный ввод пин-кода,да,311.38
юр. лицо,списание средств,3401.8,наличный,Могилев,Приорбанк-IOHJ-151,24-09-2017,02:03:01,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4571.39,наличный,Гродно,Приорбанк-CLAZ-997,26-06-2002,04:13:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4406.71,наличный,Гродно,Беларусбанк-RTMY-742,10-07-2016,01:46:25,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2240.47,наличный,Гродно,МаксБанк-RONH-271,08-04-2021,21:11:57,неправильный ввод пин-кода,да,139.89
юр. лицо,списание средств,115.52,безналичный,Витебск,Беларусбанк-PGWP-939,11-11-2004,10:14:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,708.24,безналичный,Могилев,Приорбанк-NKKX-647,29-12-2019,02:55:31,неправильный ввод пин-кода,да,43.27
физ. лицо,списание средств,1405.25,безналичный,Гродно,Приорбанк-XAJE-564,20-02-2021,11:53:09,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1299.32,наличный,Минск,Беларусбанк-NELO-451,18-09-2009,21:34:22,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3729.22,наличный,Гомель,МаксБанк-XXCM-324,19-10-2023,11:26:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,410.28,наличный,Гомель,Приорбанк-KQIP-868,25-11-2005,21:42:53,неправильный ввод пин-кода,да,37.13
юр. лицо,списание средств,4239.24,безналичный,Могилев,БелАгропромбанк-OYDT-376,22-05-2018,21:19:21,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1044.08,безналичный,Минск,БелАгропромбанк-FAOP-727,10-01-2022,23:36:53,неправильный ввод пин-кода,да,89.21
юр. лицо,списание средств,54.61,наличный,Минск,Приорбанк-CJUV-651,18-05-2023,13:49:10,неправильный ввод пин-кода,да,4.33
юр. лицо,списание средств,4833.34,безналичный,Могилев,Беларусбанк-XQEI-246,14-11-2018,16:01:15,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2476.51,наличный,Могилев,Приорбанк-ROUW-759,15-12-2024,20:51:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1377.06,безналичный,Витебск,МаксБанк-PQLP-812,16-05-2010,09:08:51,неправильный ввод пин-кода,да,30.57
физ. лицо,списание средств,1896.56,безналичный,Гомель,БелАгропромбанк-LQBQ-538,03-06-2020,15:05:12,неправильный ввод пин-кода,да,180.06
физ. лицо,списание средств,3727.96,наличный,Гомель,Приорбанк-IVEF-871,02-11-2004,08:36:43,неправильный ввод пин-кода,да,233.26
физ. лицо,списание средств,2950.95,безналичный,Гродно,БелАгропромбанк-PYTL-733,20-09-2019,09:27:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3680.18,наличный,Гомель,Беларусбанк-PPAN-373,14-05-2002,06:21:17,неправильный ввод пин-кода,да,367.46
физ. лицо,списание средств,3236.23,наличный,Гродно,Приорбанк-YACP-591,21-02-2010,03:18:59,неправильный ввод пин-кода,да,299.58
юр. лицо,списание средств,2674.71,безналичный,Гродно,Беларусбанк-XXAN-200,27-07-2012,22:50:13,неправильный ввод пин-кода,да,236.24
юр. лицо,списание средств,3690.75,наличный,Брест,МаксБанк-PPQI-019,17-03-2022,10:36:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,336.03,безналичный,Могилев,Приорбанк-KPQZ-689,23-01-2006,20:57:01,неправильный ввод пин-кода,да,7.79
юр. лицо,списание средств,4205.69,безналичный,Витебск,БелАгропромбанк-QEOT-298,28-10-2000,10:04:07,неправильный ввод пин-кода,да,85.72
юр. лицо,списание средств,2913.93,наличный,Гомель,БелАгропромбанк-SXFL-948,05-05-2009,03:12:23,неправильный ввод пин-кода,да,90.39
юр. лицо,списание средств,3430.39,наличный,Витебск,Приорбанк-VWVI-737,25-06-2004,19:51:55,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3054.02,безналичный,Витебск,Приорбанк-AWRZ-714,28-09-2013,06:44:44,неправильный ввод пин-кода,да,249.42
юр. лицо,списание средств,340.36,безналичный,Витебск,БелАгропромбанк-HCCE-062,13-08-2013,07:06:12,неправильный ввод пин-кода,да,4.54
физ. лицо,списание средств,1154.22,безналичный,Брест,БелАгропромбанк-TDMX-532,15-12-2021,02:42:00,неправильный ввод пин-кода,да,97.13
физ. лицо,списание средств,2211.21,наличный,Минск,Белинвестбанк-GJZD-119,17-11-2004,03:27:11,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4186.34,наличный,Гомель,Беларусбанк-EUKO-404,14-09-2007,10:40:34,неправильный ввод пин-кода,да,196.98
физ. лицо,списание средств,3951.99,безналичный,Витебск,Беларусбанк-NCNF-844,05-11-2012,15:19:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1710.1,наличный,Витебск,БелАгропромбанк-DUPE-346,15-12-2019,06:45:24,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,222.18,наличный,Брест,Белинвестбанк-MXKB-958,18-10-2004,00:08:24,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,979.58,наличный,Гродно,Беларусбанк-ZWSU-510,24-10-2000,22:38:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1910.65,наличный,Гомель,БелАгропромбанк-QEQH-291,01-01-2001,05:19:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,824.64,безналичный,Могилев,Белинвестбанк-CSMF-108,03-02-2022,06:22:58,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2345.6,безналичный,Могилев,МаксБанк-KJLA-618,01-08-2002,07:37:11,неправильный ввод пин-кода,да,91.06
физ. лицо,списание средств,1747.0,наличный,Гродно,Белинвестбанк-ANJD-621,19-11-2003,12:01:03,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1753.92,безналичный,Минск,Приорбанк-SGEE-881,03-02-2009,01:29:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,595.15,наличный,Гродно,БелАгропромбанк-JCZM-704,25-07-2018,13:53:27,неправильный ввод пин-кода,да,24.62
юр. лицо,списание средств,474.8,безналичный,Могилев,Беларусбанк-AMVY-974,18-01-2017,04:04:28,неправильный ввод пин-кода,да,39.1
юр. лицо,списание средств,4688.15,наличный,Витебск,Приорбанк-LOUV-777,06-01-2009,08:33:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,644.8,безналичный,Гродно,МаксБанк-SGDH-482,27-07-2004,19:57:24,неправильный ввод пин-кода,да,32.28
физ. лицо,списание средств,1921.54,наличный,Минск,МаксБанк-JQOR-026,12-05-2023,06:32:04,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3700.23,безналичный,Могилев,Белинвестбанк-JXHF-471,19-06-2020,23:27:27,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2329.42,наличный,Брест,МаксБанк-ZSBQ-171,26-08-2006,04:24:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2004.67,безналичный,Гомель,Беларусбанк-JFWC-912,15-09-2008,00:50:41,неправильный ввод пин-кода,да,185.24
физ. лицо,списание средств,976.73,безналичный,Могилев,Белинвестбанк-PGQA-748,26-02-2019,22:59:37,неправильный ввод пин-кода,да,18.35
физ. лицо,списание средств,1621.49,наличный,Брест,БелАгропромбанк-QPEV-211,05-04-2011,05:18:39,неправильный ввод пин-кода,да,124.33
юр. лицо,списание средств,1824.22,безналичный,Витебск,Приорбанк-ULGR-147,07-10-2018,13:20:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1172.17,безналичный,Витебск,БелАгропромбанк-XTMO-172,22-02-2021,03:41:26,неправильный ввод пин-кода,да,95.58
юр. лицо,списание средств,4852.31,безналичный,Гродно,МаксБанк-DEUZ-717,11-07-2013,13:28:18,неправильный ввод пин-кода,да,147.66
юр. лицо,списание средств,160.28,наличный,Гродно,Приорбанк-RDMU-675,08-02-2020,11:10:07,неправильный ввод пин-кода,да,11.45
юр. лицо,списание средств,2203.02,безналичный,Минск,Белинвестбанк-OIJY-028,13-05-2005,22:57:34,неправильный ввод пин-кода,да,130.83
физ. лицо,списание средств,4272.07,безналичный,Минск,Белинвестбанк-DYZA-937,07-03-2005,20:40:06,неправильный ввод пин-кода,да,317.18
юр. лицо,списание средств,4809.12,безналичный,Брест,Приорбанк-OYOK-729,02-07-2022,10:16:09,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1200.51,наличный,Брест,Белинвестбанк-YDXH-198,06-12-2014,15:13:20,неправильный ввод пин-кода,да,29.97
физ. лицо,списание средств,2245.52,наличный,Гродно,Белинвестбанк-IPHM-161,29-09-2016,20:43:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1600.9,безналичный,Брест,Белинвестбанк-EXXZ-881,15-07-2000,08:40:47,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3619.3,наличный,Минск,БелАгропромбанк-ZOWP-122,18-11-2000,04:28:22,неправильный ввод пин-кода,да,246.67
юр. лицо,списание средств,1908.58,безналичный,Витебск,Белинвестбанк-SNQF-913,06-04-2023,12:14:58,неправильный ввод пин-кода,да,122.75
физ. лицо,списание средств,4794.13,безналичный,Брест,БелАгропромбанк-ROCS-478,22-05-2023,22:36:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1372.96,наличный,Брест,Белинвестбанк-CRTZ-881,16-04-2004,12:37:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,323.75,безналичный,Витебск,БелАгропромбанк-QUEO-206,11-09-2005,04:59:17,неправильный ввод пин-кода,да,3.71
юр. лицо,списание средств,1645.04,наличный,Минск,Приорбанк-YGIL-566,02-06-2009,18:01:50,неправильный ввод пин-кода,да,134.2
юр. лицо,списание средств,844.54,безналичный,Витебск,Беларусбанк-RRCB-677,03-04-2003,08:51:59,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,154.9,наличный,Гродно,Беларусбанк-EWJN-072,07-10-2021,04:40:54,неправильный ввод пин-кода,да,13.98
юр. лицо,списание средств,3070.75,безналичный,Гродно,Приорбанк-WSEW-334,15-09-2023,08:59:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3226.15,безналичный,Минск,Беларусбанк-UZXI-871,16-05-2020,23:33:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2132.3,наличный,Гродно,Беларусбанк-EEGW-074,16-10-2002,13:03:29,неправильный ввод пин-кода,да,191.48
юр. лицо,списание средств,4083.3,безналичный,Гомель,МаксБанк-HDVS-757,23-03-2022,04:42:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2811.74,безналичный,Гомель,Беларусбанк-CUFM-253,21-06-2024,18:40:40,неправильный ввод пин-кода,да,114.7
юр. лицо,списание средств,994.01,наличный,Могилев,Белинвестбанк-ARJK-561,05-12-2005,12:19:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,349.92,безналичный,Минск,МаксБанк-HATA-248,02-01-2010,08:02:54,неправильный ввод пин-кода,да,30.51
юр. лицо,списание средств,4681.37,безналичный,Минск,Приорбанк-ZQVL-876,27-07-2020,07:06:33,неправильный ввод пин-кода,да,462.76
юр. лицо,списание средств,3133.12,наличный,Витебск,Белинвестбанк-JBGS-678,27-10-2014,09:10:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3546.79,безналичный,Гродно,БелАгропромбанк-NWOA-361,29-08-2015,07:33:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,578.36,безналичный,Брест,Беларусбанк-KXBG-854,04-12-2016,07:06:34,неправильный ввод пин-кода,да,46.3
юр. лицо,списание средств,470.89,безналичный,Брест,Приорбанк-NTBI-816,02-12-2000,01:46:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2633.99,безналичный,Гомель,МаксБанк-IIGH-907,05-11-2022,09:34:38,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,511.91,безналичный,Минск,БелАгропромбанк-VOAW-533,16-12-2011,07:56:09,неправильный ввод пин-кода,да,49.17
физ. лицо,списание средств,3946.55,наличный,Брест,Беларусбанк-SKHD-833,12-10-2002,10:14:28,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4211.05,наличный,Гомель,БелАгропромбанк-CSRC-594,21-08-2014,17:18:23,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,180.47,безналичный,Витебск,Белинвестбанк-YCUO-055,05-01-2008,23:51:11,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1560.65,безналичный,Минск,Белинвестбанк-HUAV-724,25-12-2003,05:34:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3697.64,безналичный,Витебск,Белинвестбанк-PGVF-537,20-11-2003,13:32:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4801.19,безналичный,Брест,МаксБанк-ZLKH-580,01-09-2002,23:32:10,неправильный ввод пин-кода,да,80.11
юр. лицо,списание средств,3921.46,безналичный,Гомель,МаксБанк-TDNB-474,27-07-2008,00:41:43,неправильный ввод пин-кода,да,266.22
юр. лицо,списание средств,2431.31,наличный,Витебск,Беларусбанк-RYRG-650,04-09-2016,16:48:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1521.16,безналичный,Витебск,МаксБанк-NUUX-189,06-11-2018,21:58:37,неправильный ввод пин-кода,да,103.0
физ. лицо,списание средств,2982.51,наличный,Витебск,МаксБанк-TOPN-660,06-11-2008,12:00:32,неправильный ввод пин-кода,да,58.4
юр. лицо,списание средств,1301.04,безналичный,Брест,БелАгропромбанк-QTRG-937,29-01-2014,08:25:46,неправильный ввод пин-кода,да,17.98
юр. лицо,списание средств,1269.75,наличный,Могилев,Беларусбанк-FBFM-670,03-07-2012,09:44:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2647.23,наличный,Брест,Беларусбанк-QHLJ-266,13-07-2021,09:08:22,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4378.08,безналичный,Гродно,БелАгропромбанк-ANOO-408,22-05-2014,06:41:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4772.02,наличный,Витебск,БелАгропромбанк-QPWC-803,20-11-2005,03:19:03,неправильный ввод пин-кода,нет,0.0
